issues foot,'issu' <-> 'foot'
vitreous is in abrasion,'vitreous' <3> 'abras'
vitreous is a little abrasion,'vitreous' <3> 'littl' <-> 'abras'
tremor vitreous,'tremor' <-> 'vitreous'
tremor in my vitreous,'tremor' <3> 'vitreous'
tremor in vitreous,'tremor' <2> 'vitreous'
vitreous tremor,'vitreous' <-> 'tremor'
vitreous is tremor,'vitreous' <2> 'tremor'
vitreous is in tremor,'vitreous' <3> 'tremor'
vitreous is a little tremor,'vitreous' <3> 'littl' <-> 'tremor'
complication vitreous,'complic' <-> 'vitreous'
complication in my vitreous,'complic' <3> 'vitreous'
complication in vitreous,'complic' <2> 'vitreous'
vitreous complication,'vitreous' <-> 'complic'
vitreous is complication,'vitreous' <2> 'complic'
vitreous is in complication,'vitreous' <3> 'complic'
vitreous is a little complication,'vitreous' <3> 'littl' <-> 'complic'
irritation vitreous,'irrit' <-> 'vitreous'
irritation in my vitreous,'irrit' <3> 'vitreous'
irritation in vitreous,'irrit' <2> 'vitreous'
vitreous irritation,'vitreous' <-> 'irrit'
vitreous is irritation,'vitreous' <2> 'irrit'
vitreous is in irritation,'vitreous' <3> 'irrit'
vitreous is a little irritation,'vitreous' <3> 'littl' <-> 'irrit'
tender vitreous,'tender' <-> 'vitreous'
tender in my vitreous,'tender' <3> 'vitreous'
tender in vitreous,'tender' <2> 'vitreous'
vitreous tender,'vitreous' <-> 'tender'
vitreous is tender,'vitreous' <2> 'tender'
vitreous is in tender,'vitreous' <3> 'tender'
vitreous is a little tender,'vitreous' <3> 'littl' <-> 'tender'
papule vitreous,'papul' <-> 'vitreous'
papule in my vitreous,'papul' <3> 'vitreous'
papule in vitreous,'papul' <2> 'vitreous'
vitreous papule,'vitreous' <-> 'papul'
vitreous is papule,'vitreous' <2> 'papul'
vitreous is in papule,'vitreous' <3> 'papul'
vitreous is a little papule,'vitreous' <3> 'littl' <-> 'papul'
rupture vitreous,'ruptur' <-> 'vitreous'
rupture in my vitreous,'ruptur' <3> 'vitreous'
rupture in vitreous,'ruptur' <2> 'vitreous'
vitreous rupture,'vitreous' <-> 'ruptur'
vitreous is rupture,'vitreous' <2> 'ruptur'
vitreous is in rupture,'vitreous' <3> 'ruptur'
vitreous is a little rupture,'vitreous' <3> 'littl' <-> 'ruptur'
puffy vitreous,'puffi' <-> 'vitreous'
puffy in my vitreous,'puffi' <3> 'vitreous'
puffy in vitreous,'puffi' <2> 'vitreous'
vitreous puffy,'vitreous' <-> 'puffi'
vitreous is puffy,'vitreous' <2> 'puffi'
vitreous is in puffy,'vitreous' <3> 'puffi'
vitreous is a little puffy,'vitreous' <3> 'littl' <-> 'puffi'
issues pneumothorax,'issu' <-> 'pneumothorax'
issues in my pneumothorax,'issu' <3> 'pneumothorax'
issues in pneumothorax,'issu' <2> 'pneumothorax'
pneumothorax issues,'pneumothorax' <-> 'issu'
pneumothorax is issues,'pneumothorax' <2> 'issu'
pneumothorax is in issues,'pneumothorax' <3> 'issu'
pneumothorax is a little issues,'pneumothorax' <3> 'littl' <-> 'issu'
puffing pneumothorax,'puf' <-> 'pneumothorax'
puffing in my pneumothorax,'puf' <3> 'pneumothorax'
puffing in pneumothorax,'puf' <2> 'pneumothorax'
pneumothorax puffing,'pneumothorax' <-> 'puf'
pneumothorax is puffing,'pneumothorax' <2> 'puf'
pneumothorax is in puffing,'pneumothorax' <3> 'puf'
pneumothorax is a little puffing,'pneumothorax' <3> 'littl' <-> 'puf'
inflamed pneumothorax,'inflam' <-> 'pneumothorax'
inflamed in my pneumothorax,'inflam' <3> 'pneumothorax'
inflamed in pneumothorax,'inflam' <2> 'pneumothorax'
pneumothorax inflamed,'pneumothorax' <-> 'inflam'
pneumothorax is inflamed,'pneumothorax' <2> 'inflam'
pneumothorax is in inflamed,'pneumothorax' <3> 'inflam'
pneumothorax is a little inflamed,'pneumothorax' <3> 'littl' <-> 'inflam'
hurts pneumothorax,'hurt' <-> 'pneumothorax'
hurts in my pneumothorax,'hurt' <3> 'pneumothorax'
hurts in pneumothorax,'hurt' <2> 'pneumothorax'
pneumothorax hurts,'pneumothorax' <-> 'hurt'
pneumothorax is hurts,'pneumothorax' <2> 'hurt'
pneumothorax is in hurts,'pneumothorax' <3> 'hurt'
pneumothorax is a little hurts,'pneumothorax' <3> 'littl' <-> 'hurt'
cramps pneumothorax,'cramp' <-> 'pneumothorax'
cramps in my pneumothorax,'cramp' <3> 'pneumothorax'
cramps in pneumothorax,'cramp' <2> 'pneumothorax'
pneumothorax cramps,'pneumothorax' <-> 'cramp'
pneumothorax is cramps,'pneumothorax' <2> 'cramp'
pneumothorax is in cramps,'pneumothorax' <3> 'cramp'
pneumothorax is a little cramps,'pneumothorax' <3> 'littl' <-> 'cramp'
shaking pneumothorax,'shake' <-> 'pneumothorax'
shaking in my pneumothorax,'shake' <3> 'pneumothorax'
shaking in pneumothorax,'shake' <2> 'pneumothorax'
pneumothorax shaking,'pneumothorax' <-> 'shake'
pneumothorax is shaking,'pneumothorax' <2> 'shake'
pneumothorax is in shaking,'pneumothorax' <3> 'shake'
pneumothorax is a little shaking,'pneumothorax' <3> 'littl' <-> 'shake'
hypersensitivity pneumothorax,'hypersensit' <-> 'pneumothorax'
hypersensitivity in my pneumothorax,'hypersensit' <3> 'pneumothorax'
hypersensitivity in pneumothorax,'hypersensit' <2> 'pneumothorax'
pneumothorax hypersensitivity,'pneumothorax' <-> 'hypersensit'
pneumothorax is hypersensitivity,'pneumothorax' <2> 'hypersensit'
pneumothorax is in hypersensitivity,'pneumothorax' <3> 'hypersensit'
pneumothorax is a little hypersensitivity,'pneumothorax' <3> 'littl' <-> 'hypersensit'
trauma pneumothorax,'trauma' <-> 'pneumothorax'
trauma in my pneumothorax,'trauma' <3> 'pneumothorax'
trauma in pneumothorax,'trauma' <2> 'pneumothorax'
pneumothorax trauma,'pneumothorax' <-> 'trauma'
pneumothorax is trauma,'pneumothorax' <2> 'trauma'
pneumothorax is in trauma,'pneumothorax' <3> 'trauma'
pneumothorax is a little trauma,'pneumothorax' <3> 'littl' <-> 'trauma'
inflammation pneumothorax,'inflamm' <-> 'pneumothorax'
inflammation in my pneumothorax,'inflamm' <3> 'pneumothorax'
inflammation in pneumothorax,'inflamm' <2> 'pneumothorax'
pneumothorax inflammation,'pneumothorax' <-> 'inflamm'
pneumothorax is inflammation,'pneumothorax' <2> 'inflamm'
pneumothorax is in inflammation,'pneumothorax' <3> 'inflamm'
pneumothorax is a little inflammation,'pneumothorax' <3> 'littl' <-> 'inflamm'
avulsion pneumothorax,'avuls' <-> 'pneumothorax'
avulsion in my pneumothorax,'avuls' <3> 'pneumothorax'
avulsion in pneumothorax,'avuls' <2> 'pneumothorax'
pneumothorax avulsion,'pneumothorax' <-> 'avuls'
pneumothorax is avulsion,'pneumothorax' <2> 'avuls'
pneumothorax is in avulsion,'pneumothorax' <3> 'avuls'
pneumothorax is a little avulsion,'pneumothorax' <3> 'littl' <-> 'avuls'
plaque pneumothorax,'plaqu' <-> 'pneumothorax'
plaque in my pneumothorax,'plaqu' <3> 'pneumothorax'
plaque in pneumothorax,'plaqu' <2> 'pneumothorax'
pneumothorax plaque,'pneumothorax' <-> 'plaqu'
pneumothorax is plaque,'pneumothorax' <2> 'plaqu'
pneumothorax is in plaque,'pneumothorax' <3> 'plaqu'
pneumothorax is a little plaque,'pneumothorax' <3> 'littl' <-> 'plaqu'
tingling pneumothorax,'tingl' <-> 'pneumothorax'
tingling in my pneumothorax,'tingl' <3> 'pneumothorax'
tingling in pneumothorax,'tingl' <2> 'pneumothorax'
pneumothorax tingling,'pneumothorax' <-> 'tingl'
pneumothorax is tingling,'pneumothorax' <2> 'tingl'
pneumothorax is in tingling,'pneumothorax' <3> 'tingl'
pneumothorax is a little tingling,'pneumothorax' <3> 'littl' <-> 'tingl'
discomfort pneumothorax,'discomfort' <-> 'pneumothorax'
discomfort in my pneumothorax,'discomfort' <3> 'pneumothorax'
discomfort in pneumothorax,'discomfort' <2> 'pneumothorax'
pneumothorax discomfort,'pneumothorax' <-> 'discomfort'
pneumothorax is discomfort,'pneumothorax' <2> 'discomfort'
pneumothorax is in discomfort,'pneumothorax' <3> 'discomfort'
pneumothorax is a little discomfort,'pneumothorax' <3> 'littl' <-> 'discomfort'
oedema pneumothorax,'oedema' <-> 'pneumothorax'
oedema in my pneumothorax,'oedema' <3> 'pneumothorax'
oedema in pneumothorax,'oedema' <2> 'pneumothorax'
pneumothorax oedema,'pneumothorax' <-> 'oedema'
pneumothorax is oedema,'pneumothorax' <2> 'oedema'
pneumothorax is in oedema,'pneumothorax' <3> 'oedema'
pneumothorax is a little oedema,'pneumothorax' <3> 'littl' <-> 'oedema'
burning pneumothorax,'burn' <-> 'pneumothorax'
burning in my pneumothorax,'burn' <3> 'pneumothorax'
burning in pneumothorax,'burn' <2> 'pneumothorax'
pneumothorax burning,'pneumothorax' <-> 'burn'
pneumothorax is burning,'pneumothorax' <2> 'burn'
pneumothorax is in burning,'pneumothorax' <3> 'burn'
pneumothorax is a little burning,'pneumothorax' <3> 'littl' <-> 'burn'
macule pneumothorax,'macul' <-> 'pneumothorax'
macule in my pneumothorax,'macul' <3> 'pneumothorax'
macule in pneumothorax,'macul' <2> 'pneumothorax'
pneumothorax macule,'pneumothorax' <-> 'macul'
pneumothorax is macule,'pneumothorax' <2> 'macul'
pneumothorax is in macule,'pneumothorax' <3> 'macul'
pneumothorax is a little macule,'pneumothorax' <3> 'littl' <-> 'macul'
tight pneumothorax,'tight' <-> 'pneumothorax'
tight in my pneumothorax,'tight' <3> 'pneumothorax'
tight in pneumothorax,'tight' <2> 'pneumothorax'
pneumothorax tight,'pneumothorax' <-> 'tight'
pneumothorax is tight,'pneumothorax' <2> 'tight'
pneumothorax is in tight,'pneumothorax' <3> 'tight'
pneumothorax is a little tight,'pneumothorax' <3> 'littl' <-> 'tight'
pains pneumothorax,'pain' <-> 'pneumothorax'
pains in my pneumothorax,'pain' <3> 'pneumothorax'
pains in pneumothorax,'pain' <2> 'pneumothorax'
pneumothorax pains,'pneumothorax' <-> 'pain'
pneumothorax is pains,'pneumothorax' <2> 'pain'
pneumothorax is in pains,'pneumothorax' <3> 'pain'
pneumothorax is a little pains,'pneumothorax' <3> 'littl' <-> 'pain'
injury pneumothorax,'injuri' <-> 'pneumothorax'
injury in my pneumothorax,'injuri' <3> 'pneumothorax'
injury in pneumothorax,'injuri' <2> 'pneumothorax'
pneumothorax injury,'pneumothorax' <-> 'injuri'
pneumothorax is injury,'pneumothorax' <2> 'injuri'
pneumothorax is in injury,'pneumothorax' <3> 'injuri'
pneumothorax is a little injury,'pneumothorax' <3> 'littl' <-> 'injuri'
numbness pneumothorax,'numb' <-> 'pneumothorax'
numbness in my pneumothorax,'numb' <3> 'pneumothorax'
numbness in pneumothorax,'numb' <2> 'pneumothorax'
pneumothorax numbness,'pneumothorax' <-> 'numb'
pneumothorax is numbness,'pneumothorax' <2> 'numb'
pneumothorax is in numbness,'pneumothorax' <3> 'numb'
pneumothorax is a little numbness,'pneumothorax' <3> 'littl' <-> 'numb'
pounding pneumothorax,'pound' <-> 'pneumothorax'
pounding in my pneumothorax,'pound' <3> 'pneumothorax'
pounding in pneumothorax,'pound' <2> 'pneumothorax'
pneumothorax pounding,'pneumothorax' <-> 'pound'
pneumothorax is pounding,'pneumothorax' <2> 'pound'
pneumothorax is in pounding,'pneumothorax' <3> 'pound'
pneumothorax is a little pounding,'pneumothorax' <3> 'littl' <-> 'pound'
laceration pneumothorax,'lacer' <-> 'pneumothorax'
laceration in my pneumothorax,'lacer' <3> 'pneumothorax'
laceration in pneumothorax,'lacer' <2> 'pneumothorax'
pneumothorax laceration,'pneumothorax' <-> 'lacer'
pneumothorax is laceration,'pneumothorax' <2> 'lacer'
pneumothorax is in laceration,'pneumothorax' <3> 'lacer'
pneumothorax is a little laceration,'pneumothorax' <3> 'littl' <-> 'lacer'
obstruction pneumothorax,'obstruct' <-> 'pneumothorax'
obstruction in my pneumothorax,'obstruct' <3> 'pneumothorax'
obstruction in pneumothorax,'obstruct' <2> 'pneumothorax'
pneumothorax obstruction,'pneumothorax' <-> 'obstruct'
pneumothorax is obstruction,'pneumothorax' <2> 'obstruct'
pneumothorax is in obstruction,'pneumothorax' <3> 'obstruct'
pneumothorax is a little obstruction,'pneumothorax' <3> 'littl' <-> 'obstruct'
swollen pneumothorax,'swollen' <-> 'pneumothorax'
swollen in my pneumothorax,'swollen' <3> 'pneumothorax'
swollen in pneumothorax,'swollen' <2> 'pneumothorax'
pneumothorax swollen,'pneumothorax' <-> 'swollen'
pneumothorax is swollen,'pneumothorax' <2> 'swollen'
pneumothorax is in swollen,'pneumothorax' <3> 'swollen'
pneumothorax is a little swollen,'pneumothorax' <3> 'littl' <-> 'swollen'
swelling pneumothorax,'swell' <-> 'pneumothorax'
swelling in my pneumothorax,'swell' <3> 'pneumothorax'
swelling in pneumothorax,'swell' <2> 'pneumothorax'
pneumothorax swelling,'pneumothorax' <-> 'swell'
pneumothorax is swelling,'pneumothorax' <2> 'swell'
pneumothorax is in swelling,'pneumothorax' <3> 'swell'
pneumothorax is a little swelling,'pneumothorax' <3> 'littl' <-> 'swell'
scratchy pneumothorax,'scratchi' <-> 'pneumothorax'
scratchy in my pneumothorax,'scratchi' <3> 'pneumothorax'
scratchy in pneumothorax,'scratchi' <2> 'pneumothorax'
pneumothorax scratchy,'pneumothorax' <-> 'scratchi'
pneumothorax is scratchy,'pneumothorax' <2> 'scratchi'
pneumothorax is in scratchy,'pneumothorax' <3> 'scratchi'
pneumothorax is a little scratchy,'pneumothorax' <3> 'littl' <-> 'scratchi'
erythema pneumothorax,'erythema' <-> 'pneumothorax'
erythema in my pneumothorax,'erythema' <3> 'pneumothorax'
erythema in pneumothorax,'erythema' <2> 'pneumothorax'
pneumothorax erythema,'pneumothorax' <-> 'erythema'
pneumothorax is erythema,'pneumothorax' <2> 'erythema'
pneumothorax is in erythema,'pneumothorax' <3> 'erythema'
pneumothorax is a little erythema,'pneumothorax' <3> 'littl' <-> 'erythema'
spasm pneumothorax,'spasm' <-> 'pneumothorax'
spasm in my pneumothorax,'spasm' <3> 'pneumothorax'
spasm in pneumothorax,'spasm' <2> 'pneumothorax'
pneumothorax spasm,'pneumothorax' <-> 'spasm'
pneumothorax is spasm,'pneumothorax' <2> 'spasm'
pneumothorax is in spasm,'pneumothorax' <3> 'spasm'
pneumothorax is a little spasm,'pneumothorax' <3> 'littl' <-> 'spasm'
prickling pneumothorax,'prickl' <-> 'pneumothorax'
prickling in my pneumothorax,'prickl' <3> 'pneumothorax'
prickling in pneumothorax,'prickl' <2> 'pneumothorax'
pneumothorax prickling,'pneumothorax' <-> 'prickl'
pneumothorax is prickling,'pneumothorax' <2> 'prickl'
pneumothorax is in prickling,'pneumothorax' <3> 'prickl'
pneumothorax is a little prickling,'pneumothorax' <3> 'littl' <-> 'prickl'
luxation pneumothorax,'luxat' <-> 'pneumothorax'
luxation in my pneumothorax,'luxat' <3> 'pneumothorax'
luxation in pneumothorax,'luxat' <2> 'pneumothorax'
pneumothorax luxation,'pneumothorax' <-> 'luxat'
pneumothorax is luxation,'pneumothorax' <2> 'luxat'
pneumothorax is in luxation,'pneumothorax' <3> 'luxat'
pneumothorax is a little luxation,'pneumothorax' <3> 'littl' <-> 'luxat'
soreness pneumothorax,'sore' <-> 'pneumothorax'
soreness in my pneumothorax,'sore' <3> 'pneumothorax'
soreness in pneumothorax,'sore' <2> 'pneumothorax'
pneumothorax soreness,'pneumothorax' <-> 'sore'
pneumothorax is soreness,'pneumothorax' <2> 'sore'
pneumothorax is in soreness,'pneumothorax' <3> 'sore'
pneumothorax is a little soreness,'pneumothorax' <3> 'littl' <-> 'sore'
nodule pneumothorax,'nodul' <-> 'pneumothorax'
nodule in my pneumothorax,'nodul' <3> 'pneumothorax'
nodule in pneumothorax,'nodul' <2> 'pneumothorax'
pneumothorax nodule,'pneumothorax' <-> 'nodul'
pneumothorax is nodule,'pneumothorax' <2> 'nodul'
pneumothorax is in nodule,'pneumothorax' <3> 'nodul'
pneumothorax is a little nodule,'pneumothorax' <3> 'littl' <-> 'nodul'
throbbing pneumothorax,'throb' <-> 'pneumothorax'
throbbing in my pneumothorax,'throb' <3> 'pneumothorax'
throbbing in pneumothorax,'throb' <2> 'pneumothorax'
pneumothorax throbbing,'pneumothorax' <-> 'throb'
pneumothorax is throbbing,'pneumothorax' <2> 'throb'
pneumothorax is in throbbing,'pneumothorax' <3> 'throb'
pneumothorax is a little throbbing,'pneumothorax' <3> 'littl' <-> 'throb'
contusion pneumothorax,'contus' <-> 'pneumothorax'
contusion in my pneumothorax,'contus' <3> 'pneumothorax'
contusion in pneumothorax,'contus' <2> 'pneumothorax'
pneumothorax contusion,'pneumothorax' <-> 'contus'
pneumothorax is contusion,'pneumothorax' <2> 'contus'
pneumothorax is in contusion,'pneumothorax' <3> 'contus'
pneumothorax is a little contusion,'pneumothorax' <3> 'littl' <-> 'contus'
pallor pneumothorax,'pallor' <-> 'pneumothorax'
pallor in my pneumothorax,'pallor' <3> 'pneumothorax'
pallor in pneumothorax,'pallor' <2> 'pneumothorax'
pneumothorax pallor,'pneumothorax' <-> 'pallor'
pneumothorax is pallor,'pneumothorax' <2> 'pallor'
pneumothorax is in pallor,'pneumothorax' <3> 'pallor'
pneumothorax is a little pallor,'pneumothorax' <3> 'littl' <-> 'pallor'
itchy pneumothorax,'itchi' <-> 'pneumothorax'
itchy in my pneumothorax,'itchi' <3> 'pneumothorax'
itchy in pneumothorax,'itchi' <2> 'pneumothorax'
pneumothorax itchy,'pneumothorax' <-> 'itchi'
pneumothorax is itchy,'pneumothorax' <2> 'itchi'
pneumothorax is in itchy,'pneumothorax' <3> 'itchi'
pneumothorax is a little itchy,'pneumothorax' <3> 'littl' <-> 'itchi'
leak pneumothorax,'leak' <-> 'pneumothorax'
leak in my pneumothorax,'leak' <3> 'pneumothorax'
leak in pneumothorax,'leak' <2> 'pneumothorax'
pneumothorax leak,'pneumothorax' <-> 'leak'
pneumothorax is leak,'pneumothorax' <2> 'leak'
pneumothorax is in leak,'pneumothorax' <3> 'leak'
pneumothorax is a little leak,'pneumothorax' <3> 'littl' <-> 'leak'
abrasion pneumothorax,'abras' <-> 'pneumothorax'
abrasion in my pneumothorax,'abras' <3> 'pneumothorax'
abrasion in pneumothorax,'abras' <2> 'pneumothorax'
pneumothorax abrasion,'pneumothorax' <-> 'abras'
pneumothorax is abrasion,'pneumothorax' <2> 'abras'
pneumothorax is in abrasion,'pneumothorax' <3> 'abras'
pneumothorax is a little abrasion,'pneumothorax' <3> 'littl' <-> 'abras'
tremor pneumothorax,'tremor' <-> 'pneumothorax'
tremor in my pneumothorax,'tremor' <3> 'pneumothorax'
tremor in pneumothorax,'tremor' <2> 'pneumothorax'
pneumothorax tremor,'pneumothorax' <-> 'tremor'
pneumothorax is tremor,'pneumothorax' <2> 'tremor'
pneumothorax is in tremor,'pneumothorax' <3> 'tremor'
pneumothorax is a little tremor,'pneumothorax' <3> 'littl' <-> 'tremor'
complication pneumothorax,'complic' <-> 'pneumothorax'
complication in my pneumothorax,'complic' <3> 'pneumothorax'
complication in pneumothorax,'complic' <2> 'pneumothorax'
pneumothorax complication,'pneumothorax' <-> 'complic'
pneumothorax is complication,'pneumothorax' <2> 'complic'
pneumothorax is in complication,'pneumothorax' <3> 'complic'
pneumothorax is a little complication,'pneumothorax' <3> 'littl' <-> 'complic'
irritation pneumothorax,'irrit' <-> 'pneumothorax'
irritation in my pneumothorax,'irrit' <3> 'pneumothorax'
irritation in pneumothorax,'irrit' <2> 'pneumothorax'
pneumothorax irritation,'pneumothorax' <-> 'irrit'
pneumothorax is irritation,'pneumothorax' <2> 'irrit'
pneumothorax is in irritation,'pneumothorax' <3> 'irrit'
pneumothorax is a little irritation,'pneumothorax' <3> 'littl' <-> 'irrit'
tender pneumothorax,'tender' <-> 'pneumothorax'
tender in my pneumothorax,'tender' <3> 'pneumothorax'
tender in pneumothorax,'tender' <2> 'pneumothorax'
pneumothorax tender,'pneumothorax' <-> 'tender'
pneumothorax is tender,'pneumothorax' <2> 'tender'
pneumothorax is in tender,'pneumothorax' <3> 'tender'
pneumothorax is a little tender,'pneumothorax' <3> 'littl' <-> 'tender'
papule pneumothorax,'papul' <-> 'pneumothorax'
papule in my pneumothorax,'papul' <3> 'pneumothorax'
papule in pneumothorax,'papul' <2> 'pneumothorax'
pneumothorax papule,'pneumothorax' <-> 'papul'
pneumothorax is papule,'pneumothorax' <2> 'papul'
pneumothorax is in papule,'pneumothorax' <3> 'papul'
pneumothorax is a little papule,'pneumothorax' <3> 'littl' <-> 'papul'
rupture pneumothorax,'ruptur' <-> 'pneumothorax'
rupture in my pneumothorax,'ruptur' <3> 'pneumothorax'
rupture in pneumothorax,'ruptur' <2> 'pneumothorax'
pneumothorax rupture,'pneumothorax' <-> 'ruptur'
pneumothorax is rupture,'pneumothorax' <2> 'ruptur'
pneumothorax is in rupture,'pneumothorax' <3> 'ruptur'
pneumothorax is a little rupture,'pneumothorax' <3> 'littl' <-> 'ruptur'
puffy pneumothorax,'puffi' <-> 'pneumothorax'
puffy in my pneumothorax,'puffi' <3> 'pneumothorax'
puffy in pneumothorax,'puffi' <2> 'pneumothorax'
pneumothorax puffy,'pneumothorax' <-> 'puffi'
pneumothorax is puffy,'pneumothorax' <2> 'puffi'
pneumothorax is in puffy,'pneumothorax' <3> 'puffi'
pneumothorax is a little puffy,'pneumothorax' <3> 'littl' <-> 'puffi'
issues meniscus,'issu' <-> 'meniscus'
issues in my meniscus,'issu' <3> 'meniscus'
issues in meniscus,'issu' <2> 'meniscus'
meniscus issues,'meniscus' <-> 'issu'
meniscus is issues,'meniscus' <2> 'issu'
meniscus is in issues,'meniscus' <3> 'issu'
meniscus is a little issues,'meniscus' <3> 'littl' <-> 'issu'
puffing meniscus,'puf' <-> 'meniscus'
puffing in my meniscus,'puf' <3> 'meniscus'
puffing in meniscus,'puf' <2> 'meniscus'
meniscus puffing,'meniscus' <-> 'puf'
meniscus is puffing,'meniscus' <2> 'puf'
